弹幕,时间
我还以上了假大学,2017-11-16 09:07:27
我第一学期 94分，结果第二学期62分,2017-11-21 01:04:34
厉害啊,2017-11-25 15:47:57
线代 == 现die,2017-12-20 21:01:33
当你不能把抽象实现到具体上的时候 要怎么去理解抽象呢,2017-12-23 09:34:31
明天考线代的前来抱抱大腿,2017-12-26 14:30:01
二刷,2018-01-04 20:46:41
绿色矩阵对应的变换动画错了吧。,2018-01-05 14:10:09
就是就是,2018-01-11 01:18:18
下午考现代，凌晨刷,2018-01-11 01:18:45
完全不敢倍速听,2018-01-11 01:20:07
瑟瑟发抖,2018-01-11 01:21:24
是啊啊，要暂停想想学到了什么,2018-01-11 01:24:54
期待,2018-01-14 16:14:49
竟然有中文版！！！谢谢谢谢,2018-01-17 19:49:33
95路过，复习一遍,2018-01-25 20:34:10
就是因为有无穷个有理数求和，最后的和才可能是无理数。,2018-01-27 20:22:02
可以说是本人了,2018-02-06 12:45:38
文科生在这,2018-02-06 22:39:05
19人正在看。。。,2018-02-09 19:13:22
三刷,2018-02-16 09:58:07
北航线代78的渣渣飘过,2018-02-23 20:19:52
calc2的恶梦,2018-02-28 11:16:55
我现在就是。。。,2018-03-03 21:13:23
真的高中数学就是偏向计算,2018-03-17 14:38:46
九门功课同时补的哈哈哈哈哈哈哈哈,2018-03-17 20:30:50
其他16个小伙伴你们好,2018-03-21 10:33:49
承包左下小π,2018-03-26 13:10:56
矩阵快速幂2333,2018-03-26 13:11:09
图片这么多方格子,2018-04-16 11:51:08
看得人眼花,2018-04-16 11:51:19
宇哥的🐶笑死,2018-04-20 10:46:21
我居然在b站学线代！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2018-04-20 13:06:51
用大师的话讽刺，现在也适用。,2018-04-26 11:28:44
会计算不理解的工作后根本不会用。,2018-04-26 11:32:55
深圳国际交流学院学生前来报到,2018-05-01 20:19:05
那真是谢谢你了,2018-05-12 16:34:27
初中看这个视频的我可能真的是第一个了（然后什么都看不懂   瘫）,2018-05-17 19:06:50
算好了能过考试 没人管应用 所以很悲哀,2018-05-30 10:10:44
泰勒数级,2018-06-03 18:27:00
统计学学生前来报道,2018-06-18 09:00:27
希望能看到更多类似的视频,2018-06-18 09:13:43
没人表示一下左边的式子跟右边的图不是一回事儿吗？,2018-06-19 15:12:20
高三毕业生前来预科,2018-07-06 21:54:09
几何直观-》计算工作-》实际应用,2018-07-07 09:38:50
同时看字幕和理解视频内容，根本来不及,2018-07-15 17:01:26
张宇线代是9讲，前面大兄弟你可能要来年再战了。。,2018-07-25 15:37:29
不同意黄字+1,2018-07-25 15:38:28
从微积分过来的,2018-07-31 13:04:39
矢量差、,2018-08-01 11:29:02
泰勒级数,2018-08-01 11:28:15
坐标系的旋转不影响物理性质,2018-08-01 11:29:59
一不小心就被发现了九门功课一起补,2018-08-01 19:14:43
这个系列没有转秩矩阵？,2018-08-14 11:50:08
"我只会算,对行列式意义的理解不清楚",2018-08-14 21:22:41
14个,2018-08-14 22:44:14
忘了,2018-08-17 19:13:05
考研路过ヽ( ￣д￣;)ノ,2018-08-26 00:01:29
云大天文路过,2018-09-13 11:16:02
装逼全都吃屎,2018-09-26 14:46:23
我们的老师大概都是这样：你们懂了不？我认为你们懂了虽然我的直觉告诉我你们不懂,2018-09-28 09:27:49
放弃考研,2018-10-04 09:22:52
立即推,2018-10-04 09:22:36
前排提示二倍速！,2018-10-17 16:58:37
推荐一本书《Linear Algebra Done Right》，顺序基本和视频作者一样，不过内容深入许多，适合不满足于视频内容的同学自学,2018-10-18 21:13:19
顺手学英语,2018-10-26 15:03:00
哪个能按计算器来展开算。我们毕竟是人。普通人。心算鬼才bu suan q,2018-10-26 22:41:16
我感觉看完这个我可以秒现代,2018-10-26 22:42:23
老师，编译器是靠什么工作的？编译器是靠魔法工作的,2018-10-31 19:04:12
实际意义：解方程。,2018-11-01 09:34:39
2位公认的天才说自己算一题要计算机算3小时。冯诺依曼心算半小时就得到了解,2018-11-01 09:38:46
我看不懂了,2018-11-09 14:53:11
简单可刷哈哈哈哈,2018-11-10 20:46:27
我们高数没学泰勒定理 考研要努力了,2018-11-10 21:25:41
才把微积分泰勒展开看完就在这里看到这个,2018-11-11 11:38:14
泰勒,2018-11-17 19:32:45
永乐大帝万岁,2018-11-18 21:05:11
南航曹荣美老师力荐！！,2018-11-22 12:42:09
有美术,2018-11-24 18:09:04
我一个学画画的怎么也点进来了、,2018-11-24 18:09:35
有喵喵怪吗？？,2018-11-25 16:04:44
没有范数,2018-11-25 18:19:55
作为喜欢几何的代数菜鸟听了好欣慰,2018-11-25 21:44:03
妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙,2018-11-25 22:18:20
看了去重新学一篇代数，希望能如愿,2018-12-01 18:01:52
在B站重学数学，天哪！,2018-12-21 15:20:37
当年线性代数太抽象,2018-12-21 15:21:27
太真实啦，,2018-12-21 23:35:11
...,2018-12-27 23:35:10
妙啊,2018-12-30 13:15:31
考研党看不懂就完了,2019-01-01 20:46:38
为什么会更难而不是难度一样？,2019-01-04 14:36:57
我以为自己倍速播放了呢，语速好快,2019-01-05 21:49:43
前排预警：这一堆视频足以颠覆大部分人的三观,2019-01-08 21:52:02
从几何理解行列式真的是打开新世界的大门，以前全部白学了，笔记也白记了,2019-01-08 21:53:46
这一小段就已经诠释了矩阵乘法的意义了,2019-01-08 21:57:04
课堂上教的方法是给计算机用的，这里教的方法是给人用的,2019-01-08 22:00:18
看图形学的别走,2019-01-18 04:06:35
二刷,2019-01-18 20:00:14
诶，不是用牛顿迭代法的吗,2019-01-19 20:27:40
干....泰勒展开,2019-01-22 08:06:15
永乐大帝,2019-01-22 08:07:56
